age_group,year,mortality_rate,data,exp_life_span
45-49,1937,0.007063963929173502,projected,141.5635767716897
50-69,1937,0.05004243491589943,projected,19.983040427201136
70-89,1937,0.2299205087433778,projected,4.349329276737703
0-4,1938,0.010543475518345204,projected,94.8453854955173
5-9,1938,0.0010128756174527856,projected,987.288056666656
10-14,1938,8.551067319777338e-4,projected,1169.4446583143485
15-19,1938,0.0015162100562060566,projected,659.5392214336413
20-24,1938,0.0011499540837105846,projected,869.5999380890721
25-29,1938,9.542336560709307e-4,projected,1047.9613600273888
30-34,1938,0.0010551726169931977,projected,947.7122357947303
35-39,1938,0.0015070543320596915,projected,663.5460837256609
40-44,1938,0.002935002932600503,projected,340.71516211875445
45-49,1938,0.006947506664167272,projected,143.93652979962417
50-69,1938,0.04876353947026996,projected,20.50712501313974
70-89,1938,0.2259412168856923,projected,4.425929955515455
0-4,1939,0.010200620410781156,projected,98.0332528542174
5-9,1939,9.787272344315837e-4,projected,1021.7351319346609
10-14,1939,8.307230289766193e-4,projected,1203.7706493244996
15-19,1939,0.001482393925523221,projected,674.5845235752995
