year,age_group,CoB,population,proportion_age_by_year
2008,0-4,UK born,3041378,0.06819850181513058
2008,0-4,Non-UK born,90567,0.01441875541497365
2008,5-9,UK born,2744401,0.06153922221438644
2008,5-9,Non-UK born,166395,0.026490982446967886
2008,10-14,UK born,2958465,0.06633929773691409
2008,10-14,Non-UK born,193370,0.030785548098020855
2008,15-19,UK born,3002960,0.06733703374285095
2008,15-19,Non-UK born,250068,0.03981217583790598
2008,20-24,UK born,2828464,0.06342421337894583
2008,20-24,Non-UK born,570983,0.09090357661298154
2008,25-29,UK born,2705883,0.060675511786772635
2008,25-29,Non-UK born,806322,0.12837081612190293
2008,30-34,UK born,2537886,0.05690842209603492
2008,30-34,Non-UK born,772579,0.12299874832714927
2008,35-39,UK born,3130661,0.07020054392813341
2008,35-39,Non-UK born,643716,0.10248306293357601
2008,40-44,UK born,3365391,0.07546402460401967
2008,40-44,Non-UK born,566117,0.09012888313909743
2008,45-49,UK born,3119498,0.06995022980218053
2008,45-49,Non-UK born,501967,0.07991585676226526
2008,50-69,UK born,10234562,0.22949524693545706
2008,50-69,Non-UK born,1223697,0.19481916973110527
2008,70-89,UK born,4926416,0.11046775195917388
2008,70-89,Non-UK born,495413,0.07887242457405391
2009,0-4,UK born,3095695,0.0691460823634208
2009,0-4,Non-UK born,107595,0.01652781225498991
2009,5-9,UK born,2726556,0.06090091748201265
2009,5-9,Non-UK born,182582,0.02804666589656181
2009,10-14,UK born,2911478,0.06503137343546042
2009,10-14,Non-UK born,209152,0.03212811923189414
2009,15-19,UK born,3007201,0.06716946211734728
2009,15-19,Non-UK born,267303,0.04106077233324567
2009,20-24,UK born,2899073,0.06475429279550131
2009,20-24,Non-UK born,506443,0.07779538846464851
2009,25-29,UK born,2713114,0.060600674196052924
2009,25-29,Non-UK born,838193,0.12875595090335756
2009,30-34,UK born,2497247,0.055779024336637006
2009,30-34,Non-UK born,840594,0.129124771733547
2009,35-39,UK born,3014633,0.06733546480305273
2009,35-39,Non-UK born,676148,0.10386400112074834
2009,40-44,UK born,3316878,0.07408647149587361
2009,40-44,Non-UK born,608050,0.09340337600861207
2009,45-49,UK born,3208928,0.07167527801876063
2009,45-49,Non-UK born,508185,0.07806297942099584
2009,50-69,UK born,10383595,0.23193012073166264
2009,50-69,Non-UK born,1245574,0.19133429268736282
2009,70-89,UK born,4995962,0.11159083822421799
2009,70-89,Non-UK born,520117,0.07989586994403632
2010,0-4,UK born,3177670,0.07054156328523932
2010,0-4,Non-UK born,94651,0.01429229788427906
2010,5-9,UK born,2756251,0.06118642097716383
2010,5-9,Non-UK born,173855,0.02625209927704236
2010,10-14,UK born,2844426,0.06314383075938665
2010,10-14,Non-UK born,236556,0.035719948213051286
2010,15-19,UK born,2995821,0.06650467061172147
2010,15-19,Non-UK born,284402,0.042944692638057
2010,20-24,UK born,2936911,0.06519691886495939
2010,20-24,Non-UK born,514959,0.07775879204858334
2010,25-29,UK born,2751907,0.06108998788281763
2010,25-29,Non-UK born,827969,0.1250232917449224
2010,30-34,UK born,2528994,0.056141509438988484
2010,30-34,Non-UK born,877237,0.13246275812311872
2010,35-39,UK born,2854494,0.06336733177086858
2010,35-39,Non-UK born,760050,0.11476752498067956
2010,40-44,UK born,3306290,0.07339681756581204
2010,40-44,Non-UK born,578176,0.08730455696760658
2010,45-49,UK born,3301931,0.07330005148426161
2010,45-49,Non-UK born,505191,0.07628382437012629
2010,50-69,UK born,10563640,0.2345037966757044
2010,50-69,Non-UK born,1251851,0.18902945979157776
2010,70-89,UK born,5028441,0.11162710068307663
2010,70-89,Non-UK born,517621,0.07816075396095563
2011,0-4,UK born,3233458,0.07169393381177064
2011,0-4,Non-UK born,88411,0.012650050422207291
2011,5-9,UK born,2801829,0.06212362828832151
